SURVEY_YEAR,NUM_MALE_GE25,CV_NUM_MALE_GE25,CI_NUM_MALE_GE25,NUM_MALE_LE94,CV_NUM_MALE_LE94,CI_NUM_MALE_LE94,NUM_MALE_GE95,CV_NUM_MALE_GE95,CI_NUM_MALE_GE95,NUM_MALE_GE78,CV_NUM_MALE_GE78,CI_NUM_MALE_GE78,NUM_MALE_GE102,CV_NUM_MALE_GE102,CI_NUM_MALE_GE102,NUM_MALE_GE102_NEW,CV_NUM_MALE_GE102_NEW,CI_NUM_MALE_GE102_NEW,NUM_MALE_GE102_OLD,CV_NUM_MALE_GE102_OLD,CI_NUM_MALE_GE102_OLD,NUM_MALE_95TO101,CV_NUM_MALE_95TO101,CI_NUM_MALE_95TO101,NUM_IMMATURE_FEMALE,CV_NUM_IMMATURE_FEMALE,CI_NUM_IMMATURE_FEMALE,NUM_MATURE_FEMALE,CV_NUM_MATURE_FEMALE,CI_NUM_MATURE_FEMALE
1980,2741280374,0.146846983,788995556.5,2567047139,0.155350091,781630371.3,194807158.6,0.170334515,65037470.47,513358088.1,0.177750163,178848988.3,116566124.9,0.158071827,36114607.97,79197906.27,0.208499382,32364920.43,37368218.68,0.170564183,12492412.22,78241033.69,0.213119604,32682408.31,898547426.2,0.21112964,371831588.9,4830338598,0.340065767,3219560289
1981,1655075477,0.162601981,527472360,1575406458,0.16965604,523863353.7,79791045.86,0.112949515,17664225.54,318814360,0.113558376,70959920.53,40286140.88,0.111426667,8798342.776,26720953.57,0.134461483,7042160.534,13565187.32,0.157563259,4189255.237,39504904.98,0.130372976,10094729.19,233325147.3,0.269873756,123417934.6,2047836164,0.177863457,713901029.9
1982,1923432512,0.125416799,472812265.9,1778983435,0.129501623,451547235.5,145270336.9,0.154356876,43950011.8,591121370.1,0.137422557,159217484.2,65044609.67,0.149721583,19087620.57,55758095.84,0.172412773,18842279.5,9286513.829,0.167662045,3051711.957,80225727.25,0.165795764,26070128.04,79852731.09,0.284536719,44533226.87,2317236982,0.16971103,770790921.6
1983,1507556726,0.136585943,403585671,1485994317,0.183256228,533742717.8,150305795.5,0.139824997,41192354.47,511713214.2,0.123609582,123975207.1,65569136.73,0.143941868,18498762.33,57836339.84,0.163407334,18523728.97,7732796.887,0.143749904,2178714.069,84736658.72,0.147082804,24428078.5,240477606.5,0.668737318,315200045,1466001017,0.212633603,610973313.5
1984,1389083911,0.181738173,494801161.5,1223644322,0.226060907,542171565,237627512.8,0.134765264,62766911.7,476087692.1,0.1139222,106304436.3,148290657.3,0.148936734,43288415.32,131547059,0.166793954,43004857.96,16743598.28,0.176716184,5799374.998,89336855.57,0.134352628,23525176.91,551857397.5,0.331594926,358666501.7,670017943.5,0.208510089,273822781.9
1985,542937009.9,0.130147995,138497839.7,444588146.2,0.155709779,135684375.4,105898640.2,0.112462125,23342788.77,195940215.4,0.111565532,42845941.78,73819338.87,0.115903768,16769641.54,65155893.33,0.122805756,15682976.69,8663445.536,0.146051263,2480002.03,32079301.33,0.121820653,7659526.036,213006037.2,0.259023425,108140164.4,103423989,0.220319955,44661282.51
1986,1245940598,0.204941368,500475750.4,1143066051,0.223080763,499792252.6,110574369.9,0.124758584,27038399.56,211178664.1,0.110451824,45717134.5,78151313.03,0.13069913,20020044.9,57297911.69,0.170762534,19177299.68,20853401.34,0.106642074,4358745.925,32423056.89,0.12970984,8242955.434,842125457.8,0.297450033,490960879.9,267415127.1,0.210799613,110487170.5
1987,3971080861,0.18073207,1406695261,3758580281,0.190524619,1403560072,215722534.8,0.11552642,48846438.07,493270055.9,0.10670139,103159897.2,130818332.3,0.110827593,28416630.5,101645841.5,0.13677339,27248794.86,29172490.74,0.147434141,8430001.372,84904202.55,0.132390509,22031400.7,2955461594,0.209916543,1215984549,2040222657,0.192062371,768026003.4
1988,3953294157,0.129317054,1002007574,3677862138,0.137575954,991731367.6,276915042.5,0.174579444,94753601.52,683764423.2,0.136010338,182278099.3,178454136.3,0.200569646,70153266.66,156307759.5,0.228338863,69954626.82,22146376.73,0.146335299,6351961.474,98460906.24,0.149013904,28757206.27,1045774453,0.225040331,461269200.2,2795615538,0.178017729,975431493.4
1989,3402481520,0.105827597,705749827.3,3110966325,0.113403069,691474531.1,292347493.3,0.105784055,60614378.27,882466949.1,0.114075754,197309441.8,161957045.1,0.102721815,32607582.49,129804508.4,0.119970388,30522486.47,32152536.73,0.134239617,8459642.65,130390448.2,0.119792457,30614792.64,564736098.2,0.236808678,262119441.7,4625911105,0.3769548,3417768414
1990,2970042628,0.115771137,673936616.5,2263916552,0.131325771,582728749.9,710409489.3,0.153672741,213974323.5,1348059101,0.136831578,361535826.2,395063785.3,0.149145785,115487312.5,366002740.3,0.160954287,115463031.8,29061045.06,0.150984602,8600029.806,315345704,0.168687513,104261970,1043885049,0.379333993,776122924.5,3008694645,0.23617232,1392717973
1991,3767949066,0.161486422,1192606321,3331816777,0.183308549,1197070979,618332094.4,0.148003781,179370356.3,1093772469,0.151968971,325790173.4,439700306.8,0.167182548,144080027,387325832.2,0.189176578,143615031.6,52374474.57,0.148456195,15239617.81,178631787.6,0.194161871,67979624.99,2270747749,0.175463378,780928816.5,3545372680,0.277853728,1930786230
1992,2986808289,0.209478587,1226317865,2776161438,0.230271411,1252970398,293232413.3,0.109049916,62674861.23,512942314.9,0.088957265,89434692.76,223327075.4,0.118121098,51704093.33,170955682.2,0.141086265,47274217.47,52371393.26,0.137175398,14080770.8,69905337.84,0.099760052,13668569.92,1862158876,0.169026084,616916707,2068884684,0.209366299,848983269.3
1993,4949460413,0.176252464,1709815000,4805538727,0.181846735,1712788196,182822685.5,0.116935218,41901684.59,355759966.3,0.103569907,72218212.05,127639550.8,0.115356737,28859200.86,90424528.05,0.142918613,25329762.32,37215022.8,0.15199602,11086809.31,55183134.66,0.130915198,14159649.52,2909240794,0.197868604,1128268935,2396291975,0.174196044,818152182.5
1994,4203956147,0.149093042,1228489992,4116854949,0.153780375,1240859339,106415361.9,0.106341522,22180088.26,320613820.4,0.083863906,52700337.38,73790860.79,0.115647027,16726039.6,45046460.06,0.156106568,13782814.64,28744400.72,0.141002381,7943936.708,32624501.07,0.116784501,7467670.725,2684166218,0.244628663,1286983025,2204802209,0.12782566,552387383
1995,3761733421,0.104059919,767233520.3,3635271918,0.107505939,765994107.4,127952732.2,0.175077973,43907341.9,515673369.9,0.12669211,128050224.4,67300769.6,0.15613619,20595848.05,45282375.68,0.208227309,18480893.41,22018393.92,0.175674491,7581417.464,60651962.57,0.216912694,25786114.02,1021681025,0.21787131,436286168.2,3109073510,0.135528676,825882489.4
1996,2611434624,0.089130341,456205793.2,2309820947,0.095403896,431917198.8,302399329.3,0.177559184,105239804.9,958645926.5,0.112652016,211667056.8,161409154.9,0.20616741,65223522.46,142376457.6,0.233290274,65101483.85,19032697.37,0.178599406,6662487.75,140990174.3,0.16470444,45514547.17,258410971.5,0.368951198,186868433.4,2107165631,0.164747924,680416280.8
1997,1651199658,0.088020244,284864433.5,1204421131,0.108818704,256884551.1,447141443.8,0.114571882,100410479.8,945797404,0.084700059,157013828.4,290755572.6,0.137455532,78333285.29,261042325.3,0.152969176,78265601.85,29713247.31,0.144089357,8391470.903,156385871.1,0.106103483,32522447.9,142858640.9,0.478357118,133941397.7,2001046321,0.207347181,813226175.8
1998,1078535549,0.122371002,258683692.2,778179337.6,0.165018643,251691632.9,308387242.6,0.098122814,59309255.18,514598111.6,0.086615862,87361823.58,214923176.7,0.106025749,44663286.13,187639416.6,0.12095435,44483775.06,27283760.17,0.145009507,7754553.062,93464065.86,0.102941372,18857785.59,335978567.9,0.420168889,276688773.4,1386676719,0.291092505,791156350.9
1999,543944039.7,0.098580864,105100047.7,422435555.4,0.124257064,102881580,124892452,0.097684597,23912134.84,198754875.2,0.078554455,30601638.56,85723043.9,0.117154235,19683922.51,50690685.34,0.185017366,18382167.86,35032358.56,0.086008704,5905652.013,39169408.05,0.087475929,6715705.502,187616163,0.200720899,73810630.25,551010521.5,0.249978,269971396.2
2000,1069854549,0.149508633,313506883.2,971122042.9,0.162366336,309047954.5,102408628.2,0.158396917,31793573.51,191135196.4,0.132237723,49539554.98,69783273.57,0.151700802,20748909.93,19439839.63,0.184143654,7016257.267,50343433.94,0.195308001,19271651.9,32625354.66,0.185140719,11838951.99,391861968.7,0.222033069,170532378.6,1649053396,0.529354631,1710950742
2001,1632346422,0.184709794,590960327.1,1529424057,0.195420045,585805032.8,111267769.7,0.110348372,24065305.84,312668224.8,0.131904266,80834854.27,69263931.25,0.099317954,13483137.74,25497972.22,0.160570948,8024697.82,43765959.03,0.120643305,10348937.07,42003838.45,0.149108583,12275740.35,470874362.2,0.40770832,376279614.3,1243755038,0.298422929,727483442.7
2002,706591462,0.197903022,274079708,596345833.8,0.216899276,253520079.4,114701488.8,0.243552896,54754324.41,284457333.5,0.21847881,121809883.5,66581864.03,0.247553705,32305870.8,44345247.48,0.364978811,31722748.38,22236616.55,0.152263521,6636218.05,48119624.77,0.243445671,22960448.1,121065224.8,0.279624134,66351407.03,502830910.8,0.347562698,342539925.5
2003,1129836288,0.204826905,453584906.1,1073702960,0.218260214,459319410,88088298.81,0.123145885,21261514.61,195962850.8,0.122897166,47203226.89,54971853.54,0.121986782,13143445.4,38646539.21,0.153607005,11635303.08,16325314.33,0.173549202,5553160.73,33116445.27,0.138723466,9004295.031,542401500.3,0.248937989,264647704,680200523.3,0.451090582,601390817.6
2004,1553374803,0.165407641,503602520.9,1491203891,0.172973986,505561384,79938065.67,0.15466053,24231996.65,147762716.3,0.118293885,34259674.37,58003124.81,0.180682195,20541058.51,39590996.92,0.248716497,19299990.75,18412127.89,0.159337738,5750143.733,21934940.86,0.125275623,5385910.215,1375861103,0.30051265,810388784.8,931911258.9,0.28753823,525201823.6
2005,1977261023,0.158783631,615355102.8,1890250172,0.165374116,612692964.1,89223009.38,0.100417721,17560759.73,312484662.1,0.131865389,80763586.84,62962950.93,0.104452457,12890204.45,33502191.55,0.148701189,9764358.821,29460759.37,0.14795832,8543570.341,26260058.45,0.125551579,6462103.91,1512231164,0.246971706,732017487.4,1110942845,0.228838989,498284994.4
2006,1343966279,0.169970663,447732284.2,1178446774,0.158333771,365712326.2,171871506.4,0.354503357,119420890.9,377644429.6,0.226784257,167861870.7,126417019.4,0.383709962,95074640.66,95607363.92,0.501314124,93941470.97,30809655.48,0.17548022,10596710.82,45454486.98,0.290237502,25857489.61,765749518.5,0.234755343,352337029.5,744263968.8,0.208950574,304808192.3
2007,1455559496,0.149176676,425585632.3,1260797779,0.165891318,409944595,196729372.1,0.173780859,67008086.57,434990076.3,0.137984202,117642646.7,132513581.5,0.205491629,53371646.08,106780190.7,0.24800372,51904493.62,25733390.83,0.177181889,8936601.985,64215790.59,0.142299814,17910274.31,620428605.6,0.270131831,328491130.3,839627637,0.378688238,623195936.4
2008,1073331513,0.141399321,297465960.7,1008839464,0.165236677,326726670.1,154321049.6,0.104484516,31603354.04,325179511.9,0.104750682,66763040.18,105137199.3,0.115504354,23801856.48,73605358.83,0.146827196,21182246.15,31531840.51,0.151820039,9382843.904,49183850.25,0.110063699,10610178.76,395932647.4,0.261923471,203259944.2,747725027.8,0.303747173,445153952.9
2009,1223021039,0.131493284,315205343.7,1055395177,0.150080034,310451737.8,195667267,0.150864232,57857616.35,371467160.3,0.122650689,89298978.41,129863268.4,0.167563127,42650178.87,88072252.86,0.198966568,34345930.44,41791015.57,0.277927095,22765116.91,65803998.56,0.150360634,19392888.62,1059873584,0.276012834,573375874.7,747249003,0.243505603,356640265.1
2010,2603009830,0.155013067,790861052.8,2460545470,0.167513215,807860807.1,184449245.2,0.124874174,45144576.23,293681443.6,0.11847793,68197748.34,138253332.7,0.136629326,37023341,113841429.2,0.161017017,35927598.5,24411903.48,0.112862295,5400159.548,46195912.54,0.143576208,12999962.55,3027579476,0.196013243,1163153517,1777786444,0.187714051,654082370.2
2011,2009701794,0.135963259,535561385.5,1829789720,0.147987763,530741516.4,194080577.1,0.120153165,45706015.29,330766207.9,0.120020594,77809563.21,150126958.3,0.11859756,34897194.17,94122041.53,0.152396555,28113994.84,56004916.73,0.14400989,15807913.29,43953618.79,0.179223117,15439908.9,1175394358,0.171773617,395727412,3137031039,0.193538245,1189985545
2012,1487834822,0.130658203,381019734.4,1384869369,0.138827782,376826352.3,123487000.3,0.14177339,34314054.4,274069072.6,0.113387356,60908896.2,86997300.42,0.150656846,25689208.19,35707535.29,0.183499897,12842564.93,51289765.12,0.219052303,22020876.65,36489699.92,0.146942987,10509334.76,1165456298,0.183213849,418514359.5,2656059893,0.25156659,1309624826
2013,1154052129,0.111357854,251885026.7,1055865602,0.120532857,249442334.8,112571870.8,0.125033507,27587501.44,279982732.2,0.122439156,67190464.72,73640410.89,0.135748019,19593218.15,49786798.71,0.170846482,16671562.8,23853612.19,0.156477618,7315810.566,38931459.89,0.127412811,9722318.802,1029439738,0.192372423,388150201.4,2222163200,0.228391051,994743489.3
2014,1674210833,0.276435266,907109398.4,1527819059,0.300527953,899938576.3,204169023.8,0.191831692,76765534.82,385338878.7,0.145152311,109628344.6,138506844.2,0.215493163,58500664.89,110392777.6,0.263754132,57068440.44,28114066.66,0.165333967,9110491.927,65662179.53,0.187837829,24174328.79,1590779768,0.376919735,1175208725,1815550888,0.251434677,894725203.9
2015,1564774502,0.22858295,701054313.4,1504189137,0.240375096,708676431.8,84199449.03,0.135285016,22326210.6,183769374.3,0.100537378,36212354.57,57194560.52,0.160507501,17993105.75,33945752.99,0.236994929,15768143.79,23248807.54,0.179540856,8181257.171,27004888.51,0.121282832,6419449.561,1461028466,0.277323804,794148824,1238591486,0.204874257,497360799.5
2016,2332151227,0.264523916,1209143157,2361902574,0.271099248,1255007622,57810656.57,0.11640692,13189938.51,143160645.1,0.114618378,32161328.34,37434704.92,0.12649625,9281285.594,18476788.77,0.173685806,6289945.659,18957916.15,0.167466062,6222622.813,20375951.65,0.125895382,5027866.915,2131636105,0.274510798,1146907969,818423498.3,0.21645114,347211450.1
2017,3595437121,0.164758934,1161065562,3541749363,0.16681583,1158006926,57955331.91,0.123423167,14019940,151867144.7,0.146477691,43600491.55,35996924.05,0.140788454,9933184.489,23224629.53,0.195819648,8913764,12772294.52,0.158707526,3973036.167,21958407.86,0.127181814,5473711.866,2494759860,0.20008692,978370879.7,2086903033,0.22581396,923653600.9
2018,5870612676,0.171566727,1974115533,5773060268,0.174320728,1972473576,100578811.7,0.208817609,41165148.96,437754603.7,0.172426902,147942113.3,49407292.61,0.195703774,18951619.5,34615986.88,0.226544668,15370451.79,14791305.73,0.258640382,7498232.756,51171519.07,0.235860418,23655898.33,2588700008,0.269960744,1369740863,3281983185,0.208506052,1341254179
2019,2137356210,0.173969365,728795624.8,2018040095,0.180189794,712715249.6,119686882.7,0.182660957,42849756.35,611144676.3,0.178305964,213582652.2,53704741.1,0.18117188,19070386.29,45643236.56,0.20810257,18617010.66,8061504.53,0.197315819,3117698.238,65982141.58,0.19420398,25115429.25,117294330,0.437658992,100616439.7,2040900692,0.19636197,785480347.8
2021,303543517.7,0.126578322,75307177.37,253642767.7,0.136345519,67782787.39,54210761.74,0.156403979,16618406.52,192119314.7,0.137851051,51908344.86,23530132.87,0.184727478,8519457.72,15941681.29,0.24097004,7529276.442,7588451.58,0.150406784,2237055.01,30680628.87,0.143598347,8635147.694,22583761.89,0.406690306,18001810.17,609776921.2,0.454681858,543418826.7
